CustomerID,CompanyName,ContactName,ContactTitle,City,Region,Country,Phone,DataSource,CustomerKey
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Frankfurt a.M.,Unknown,Germany,069-0245984,SQLServer,44
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,San Francisco,CA,USA,(415) 555-5938,SQLServer,45
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Barquisimeto,Lara,Venezuela,(9) 331-6954,SQLServer,46
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,I. de Margarita,Nueva Esparta,Venezuela,(8) 34-56-12,SQLServer,47
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,Portland,OR,USA,(503) 555-9573,SQLServer,48
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Bergamo,Unknown,Italy,035-640230,SQLServer,49
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Bruxelles,Unknown,Belgium,(02) 201 24 67,SQLServer,50
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,Montréal,Québec,Canada,(514) 555-8054,SQLServer,51
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Leipzig,Unknown,Germany,0342-023176,SQLServer,52
NORTS,North/South,Simon Crowther,Sales Associate,London,Unknown,UK,(171) 555-7733,SQLServer,53
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Buenos Aires,Unknown,Argentina,(1) 135-5333,SQLServer,54
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,Anchorage,AK,USA,(907) 555-7584,SQLServer,55
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Unknown,Germany,0221-0644327,SQLServer,56
PARIS,Paris spécialités,Marie Bertrand,Owner,Paris,Unknown,France,(1) 42.34.22.66,SQLServer,57
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,México D.F.,Unknown,Mexico,(5) 552-3745,SQLServer,58
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Salzburg,Unknown,Austria,6562-9722,SQLServer,59
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Lisboa,Unknown,Portugal,(1) 356-5634,SQLServer,60
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,RJ,Brazil,(21) 555-4252,SQLServer,61
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,Sao Paulo,SP,Brazil,(11) 555-1189,SQLServer,62
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Unknown,Germany,0372-035188,SQLServer,63
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Buenos Aires,Unknown,Argentina,(1) 123-5555,SQLServer,64
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,NM,USA,(505) 555-5939,SQLServer,65
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Reggio Emilia,Unknown,Italy,0522-556721,SQLServer,66
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Rio de Janeiro,RJ,Brazil,(21) 555-3412,SQLServer,67
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Unknown,Switzerland,0897-034214,SQLServer,68
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,Madrid,Unknown,Spain,(91) 745 6200,SQLServer,69
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Stavern,Unknown,Norway,07-98 92 35,SQLServer,70
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,ID,USA,(208) 555-8097,SQLServer,71
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,London,Unknown,UK,(171) 555-1717,SQLServer,72
SIMOB,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Unknown,Denmark,31 12 34 56,SQLServer,73
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,Paris,Unknown,France,(1) 47.55.60.10,SQLServer,74
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,WY,USA,(307) 555-4680,SQLServer,75
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Unknown,Belgium,(071) 23 67 22 20,SQLServer,76
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,Portland,OR,USA,(503) 555-3612,SQLServer,77
THECR,The Cracker Box,Liu Wong,Marketing Assistant,Butte,MT,USA,(406) 555-5834,SQLServer,78
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Unknown,Germany,0251-031259,SQLServer,79
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,México D.F.,Unknown,Mexico,(5) 555-2933,SQLServer,80
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,Sao Paulo,SP,Brazil,(11) 555-2167,SQLServer,81
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,Kirkland,WA,USA,(206) 555-8257,SQLServer,82
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,Unknown,Denmark,86 21 32 43,SQLServer,83
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,Unknown,France,78.32.54.86,SQLServer,84
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,Unknown,France,26.47.15.10,SQLServer,85
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Stuttgart,Unknown,Germany,0711-020361,SQLServer,86
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Unknown,Finland,981-443655,SQLServer,87
WELLI,Wellington Importadora,Paula Parente,Sales Manager,Resende,SP,Brazil,(14) 555-8122,SQLServer,88
WHITC,White Clover Markets,Karl Jablonski,Owner,Seattle,WA,USA,(206) 555-4112,SQLServer,89
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Helsinki,Unknown,Finland,90-224 8858,SQLServer,90
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Warszawa,Unknown,Poland,(26) 642-7012,SQLServer,91
1,Company A,Anna Bedecs,Owner,Seattle,WA,USA,(123)555-0100,Access,92
2,Company B,Antonio Gratacos Solsona,Owner,Boston,MA,USA,(123)555-0100,Access,93
3,Company C,Thomas Axen,Purchasing Representative,Los Angelas,CA,USA,(123)555-0100,Access,94
4,Company D,Christina Lee,Purchasing Manager,New York,NY,USA,(123)555-0100,Access,95
5,Company E,Martin O’Donnell,Owner,Minneapolis,MN,USA,(123)555-0100,Access,96
6,Company F,Francisco Pérez-Olaeta,Purchasing Manager,Milwaukee,WI,USA,(123)555-0100,Access,97
7,Company G,Ming-Yang Xie,Owner,Boise,ID,USA,(123)555-0100,Access,98
8,Company H,Elizabeth Andersen,Purchasing Representative,Portland,OR,USA,(123)555-0100,Access,99
9,Company I,Sven Mortensen,Purchasing Manager,Salt Lake City,UT,USA,(123)555-0100,Access,100
10,Company J,Roland Wacker,Purchasing Manager,Chicago,IL,USA,(123)555-0100,Access,101
11,Company K,Peter Krschne,Purchasing Manager,Miami,FL,USA,(123)555-0100,Access,102
12,Company L,John Edwards,Purchasing Manager,Las Vegas,NV,USA,(123)555-0100,Access,103
13,Company M,Andre Ludick,Purchasing Representative,Memphis,TN,USA,(123)555-0100,Access,104
14,Company N,Carlos Grilo,Purchasing Representative,Denver,CO,USA,(123)555-0100,Access,105
15,Company O,Helena Kupkova,Purchasing Manager,Honolulu,HI,USA,(123)555-0100,Access,106
16,Company P,Daniel Goldschmidt,Purchasing Representative,San Francisco,CA,USA,(123)555-0100,Access,107
17,Company Q,Jean Philippe Bagel,Owner,Seattle,WA,USA,(123)555-0100,Access,108
18,Company R,Catherine Autier Miconi,Purchasing Representative,Boston,MA,USA,(123)555-0100,Access,109
19,Company S,Alexander Eggerer,Accounting Assistant,Los Angelas,CA,USA,(123)555-0100,Access,110
20,Company T,George Li,Purchasing Manager,New York,NY,USA,(123)555-0100,Access,111
21,Company U,Bernard Tham,Accounting Manager,Minneapolis,MN,USA,(123)555-0100,Access,112
22,Company V,Luciana Ramos,Purchasing Assistant,Milwaukee,WI,USA,(123)555-0100,Access,113
23,Company W,Michael Entin,Purchasing Manager,Portland,OR,USA,(123)555-0100,Access,114
24,Company X,Jonas Hasselberg,Owner,Salt Lake City,UT,USA,(123)555-0100,Access,115
25,Company Y,John Rodman,Purchasing Manager,Chicago,IL,USA,(123)555-0100,Access,116
26,Company Z,Run Liu,Accounting Assistant,Miami,FL,USA,(123)555-0100,Access,117
27,Company AA,Karen Toh,Purchasing Manager,Las Vegas,NV,USA,(123)555-0100,Access,118
28,Company BB,Amritansh Raghav,Purchasing Manager,Memphis,TN,USA,(123)555-0100,Access,119
29,Company CC,Soo Jung Lee,Purchasing Manager,Denver,CO,USA,(123)555-0100,Access,120
